customer_id,customer_name,email,city,signup_date
CUST-00016,Chen Lin,,Taoyuan,2023-04-12
CUST-00010,Jia Wu,jia.wu10@example-mail.com,Taipei,2022-07-09
CUST-00116,Jia Liu,,Kaohsiung,2023-07-25
CUST-00079,Riley Yang,riley.yang79@example-mail.com,Taichung,2022-04-27
CUST-00067,Casey Chang,casey.chang67@example-mail.com,Kaohsiung,2024-08-05
CUST-00046,Hao Hsu,hao.hsu46@example-mail.com,Taipei,2022-06-25
CUST-00133,Jordan Yang,jordan.yang133@example-mail.com,Taipei,2023-09-15
CUST-00162,Rui Liu,rui.liu162@example-mail.com,Tainan,2025-01-07
CUST-00074,Taylor Huang,taylor.huang74@example-mail.com,Tainan,2025-11-27
CUST-00182,Jordan Liu,jordan.liu182@example-mail.com,Taoyuan,2023-02-11
CUST-00070,Wei Wang,,Taichung,2022-12-07
CUST-00164,Hao Huang,hao.huang164@example-mail.com,Tainan,2024-09-21
CUST-00168,Wei Wang,wei.wang168@example-mail.com,Taoyuan,2024-05-27
CUST-00153,Hao Huang,hao.huang153@example-mail.com,Tainan,2022-06-08
CUST-00057,Ting Wu,ting.wu57@example-mail.com,,2024-11-18
CUST-00192,Morgan Kao,morgan.kao192@example-mail.com,Tainan,2026-02-06
CUST-00019,Sam Chang,sam.chang19@example-mail.com,Kaohsiung,2023-12-29
CUST-00080,Riley Wang,riley.wang80@example-mail.com,,2022-05-21
CUST-00056,Chen Lin,chen.lin56@example-mail.com,Taichung,2022-05-19
CUST-00147,Ming Kao,ming.kao147@example-mail.com,Taoyuan,2024-12-23
CUST-00178,Hui Hsu,hui.hsu178@example-mail.com,Taichung,2024-08-10
CUST-00098,Xin Yang,xin.yang98@example-mail.com,Tainan,2023-05-30
CUST-00096,Rui Hsu,,Taichung,2026-01-09
CUST-00031,Casey Hsu,,Tainan,2024-01-12
CUST-00128,Hui Huang,hui.huang128@example-mail.com,Hsinchu,2023-09-26
CUST-00017,Rui Wang,rui.wang17@example-mail.com,Taichung,2022-07-26
CUST-00175,Chen Lin,chen.lin175@example-mail.com,Taipei,2023-05-22
CUST-00087,Chen Lin,chen.lin87@example-mail.com,Tainan,2025-06-26
CUST-00136,Jia Yang,jia.yang136@example-mail.com,Tainan,2026-02-16
CUST-00125,Wei Yang,wei.yang125@example-mail.com,Hsinchu,2025-11-07
CUST-00066,Jia Yang,jia.yang66@example-mail.com,Tainan,2022-10-15
CUST-00069,Hui Lin,hui.lin69@example-mail.com,Taoyuan,2025-01-12
CUST-00129,Casey Wu,,Tainan,2025-11-28
CUST-00068,Hao Wang,hao.wang68@example-mail.com,,2025-02-01
CUST-00077,Jamie Lin,jamie.lin77@example-mail.com,Taoyuan,2023-10-05
CUST-00101,Ming Huang,ming.huang101@example-mail.com,Taichung,2026-02-27
CUST-00141,Chen Kao,chen.kao141@example-mail.com,Tainan,2025-07-13
CUST-00139,Rui Chen,rui.chen139@example-mail.com,Taichung,2022-10-29
